alpha,p,x_bar,x2_sided_lower,x2_sided_upper,assay,xponent_id
0.05,0.99,2883.359375,1056.610299898207,4710.108450101793,CCL20,Standard3
0.05,0.99,7825.8125,6225.698661116492,9425.926338883508,EGF,Standard3
0.05,0.99,2477.625,1201.0872791870984,3754.1627208129016,FLT3L,Standard3
0.05,0.99,6266.6875,4757.543014298292,7775.831985701708,HGF,Standard3
0.05,0.99,3832.5625,2891.9741098153963,4773.150890184604,IL-1 R2,Standard3
0.05,0.99,5857.296875,4432.417441279115,7282.176308720885,IL-6,Standard3
0.05,0.99,6209.8828125,3820.246189550647,8599.519435449352,IL-8,Standard3
0.05,0.99,13789.4921875,7709.523086582617,19869.461288417384,KLK3,Standard3
0.05,0.99,4016,3122.729666486931,4909.270333513069,MUC-16,Standard3
0.05,0.99,3988.375,2708.016857241039,5268.733142758962,OPN,Standard3
0.05,0.99,3992.715277777778,3147.290547857127,4838.140007698429,CEA,Standard3
0.05,0.99,6092.152777777777,2806.360535052203,9377.945020503352,IL-6Ra,Standard3
0.05,0.99,3945.4166666666665,3352.3172510460163,4538.516082287317,MIF,Standard3
0.05,0.99,4300.4375,3386.589111223332,5214.285888776668,THBS2,Standard3
0.05,0.99,3278.7083333333335,1123.8163738679923,5433.600292798675,TNC,Standard3
0.05,0.99,11114.138888888889,9092.440265643276,13135.837512134502,WFDC2,Standard3
0.05,0.99,10970.020833333334,8136.666766863844,13803.374899802824,cMET,Standard3
0.05,0.99,3970.3958333333335,2850.986476648526,5089.805190018141,uPAR,Standard3
0.05,0.99,2884.9375,2165.634438306407,3604.240561693593,AFP,Standard4
0.05,0.99,4120.1953125,3246.5709819338754,4993.819643066125,CA15-3,Standard4
0.05,0.99,741.203125,449.8697882273606,1032.5364617726395,CCL20,Standard4
0.05,0.99,2315.3671875,1828.3616291020562,2802.372745897944,EGF,Standard4
0.05,0.99,819.8046875,399.0757145079169,1240.533660492083,FLT3L,Standard4
0.05,0.99,939.4765625,696.4498020496741,1182.503322950326,HGF,Standard4
0.05,0.99,1077.0390625,821.8764075621071,1332.2017174378927,IL-1 R2,Standard4
0.05,0.99,1428.171875,1046.626758647698,1809.716991352302,IL-6,Standard4
0.05,0.99,1762.7734375,1064.1402403855052,2461.4066346144946,IL-8,Standard4
0.05,0.99,4039.2578125,1735.0317162536185,6343.4839087463815,KLK3,Standard4
0.05,0.99,1013.0703125,748.2232916441405,1277.9173333558595,MUC-16,Standard4
0.05,0.99,783.3359375,458.9284200918524,1107.7434549081477,OPN,Standard4
0.05,0.99,1025.1875,781.3341628288853,1269.0408371711146,CEA,Standard4
0.05,0.99,1574.6527777777778,798.1169466240716,2351.188608931484,IL-6Ra,Standard4
0.05,0.99,910.5138888888889,712.3207467090693,1108.7070310687086,MIF,Standard4
0.05,0.99,1128.9722222222222,793.3590033029047,1464.5854411415396,THBS2,Standard4
0.05,0.99,704.2916666666666,375.2690419860596,1033.3142913472736,TNC,Standard4
0.05,0.99,1710.75,1177.506495300171,2243.993504699829,WFDC2,Standard4
0.05,0.99,3162.6666666666665,2381.088882433086,3944.244450900247,cMET,Standard4
0.05,0.99,981.5347222222222,691.1997179967029,1271.8697264477414,uPAR,Standard4
0.05,0.99,833.140625,588.1649795005033,1078.1162704994967,AFP,Standard5
0.05,0.99,979.6484375,778.7089629914199,1180.5879120085801,CA15-3,Standard5
0.05,0.99,287.0703125,142.08390741939408,432.0567175806059,CCL20,Standard5
0.05,0.99,744.8984375,574.4326949995145,915.3641800004855,EGF,Standard5
0.05,0.99,352.4921875,266.675836841772,438.308538158228,FLT3L,Standard5
0.05,0.99,181.1328125,128.22392303254287,234.04170196745713,HGF,Standard5
0.05,0.99,338.671875,257.88827205172737,419.45547794827263,IL-1 R2,Standard5
0.05,0.99,381.0859375,277.25668225986544,484.91519274013456,IL-6,Standard5
0.05,0.99,506.6484375,332.10506219017657,681.1918128098234,IL-8,Standard5
0.05,0.99,1122.1953125,676.6631797341505,1567.7274452658494,KLK3,Standard5
0.05,0.99,290.3203125,209.9838711790768,370.6567538209232,MUC-16,Standard5
0.05,0.99,213.3359375,141.14548781118066,285.52638718881934,OPN,Standard5
0.05,0.99,345.3263888888889,257.0792806360724,433.57349714170545,CEA,Standard5
0.05,0.99,417.0625,239.97003394364415,594.1549660563559,IL-6Ra,Standard5
0.05,0.99,397.9583333333333,321.8508095115064,474.06585715516024,MIF,Standard5
0.05,0.99,370.2916666666667,251.80173836448373,488.7815949688496,THBS2,Standard5
0.05,0.99,265.09027777777777,192.27048716317523,337.9100683923803,TNC,Standard5
0.05,0.99,320.1458333333333,230.99752039835658,409.29414626831004,WFDC2,Standard5
0.05,0.99,870.6111111111111,617.0502951664846,1124.1719270557376,cMET,Standard5
0.05,0.99,300.2013888888889,206.45234893213137,393.95042884564646,uPAR,Standard5
0.05,0.99,321.5546875,202.49119303302416,440.61818196697584,AFP,Standard6
0.05,0.99,307.1875,196.57650867585465,417.79849132414535,CA15-3,Standard6
0.05,0.99,135.4296875,103.81591622165107,167.04345877834893,CCL20,Standard6
0.05,0.99,322.859375,227.85269505945595,417.866054940544,EGF,Standard6
0.05,0.99,240.890625,205.44545534071588,276.33579465928415,FLT3L,Standard6
0.05,0.99,73.515625,51.16043014222608,95.87081985777391,HGF,Standard6
0.05,0.99,155.65625,112.92634737876082,198.38615262123918,IL-1 R2,Standard6
0.05,0.99,128.9609375,88.18974770251776,169.73212729748224,IL-6,Standard6
0.05,0.99,169.40625,108.70904964232096,230.10345035767904,IL-8,Standard6
0.05,0.99,369.2109375,214.67754619739304,523.744328802607,KLK3,Standard6
