alpha,p,x_bar,x2_sided_lower,x2_sided_upper,assay,xponent_id
0.05,0.99,97.09500463857658,77.62450603728149,116.56550323987167,HGF,Standard4
0.05,0.99,96.85011827629478,70.84870441657606,122.8515321360135,IL-1 R2,Standard4
0.05,0.99,96.82696555843897,70.79220676935984,122.8617243475181,IL-6,Standard4
0.05,0.99,97.09915219170996,54.88360840647482,139.3146959769451,IL-8,Standard4
0.05,0.99,97.62246007924418,36.75061809347526,158.4943020650131,KLK3,Standard4
0.05,0.99,97.91861117577521,69.7293347092065,126.10788764234393,MUC-16,Standard4
0.05,0.99,91.70504660901979,55.68607915508871,127.72401406295086,OPN,Standard4
0.05,0.99,99.68472754689387,73.00143720282199,126.36801789096575,CEA,Standard4
0.05,0.99,93.7896737420003,45.31700070874331,142.2623467752573,IL-6Ra,Standard4
0.05,0.99,75.33343219255019,53.78407003190925,96.88279435319113,MIF,Standard4
