...1,xponent_id,sample_type,well_id,well_row,well_column,assay,dilution_factor,conc_units,standard_expected_concentration,bead_count,median_mfi,avg_median_mfi,pct_cv_median_mfi,net_mfi,avg_net_mfi,calc_conc,avg_conc,conc_pct_cv,pct_recovery,Control1_control_expected_concentration,Control2_control_expected_concentration,Control1_control_range_low,Control2_control_range_low,Control1_control_range_high,Control2_control_range_high,calc_conc_truncated,avg_conc_truncated,calc_conc_standards_min,calc_conc_standards_max,calc_conc_min_truncated,calc_conc_max_truncated,avg_conc_standards_min,avg_conc_standards_max,avg_conc_min_truncated,avg_conc_max_truncated,conc_pct_cv_truncated,kit_lot,instrument_serial,computer_name,run_date,file_name,xponent_comments,FN_comments,panel
4233,Standard1,standard,A10,A,10,MUC16,NA,U/mL,15940,41,43602,41508.75,3.244456940793248,43558,41464.75,17364.6698914781,16010.1405819246,5.36713355665218,108.94,NA,NA,NA,NA,NA,NA,17364.6698914781,16010.1405819246,14.1529789025353,17364.6698914781,FALSE,FALSE,15.8144548044881,16010.1405819246,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,Extrapolated,;;;;;;,panel_1
4234,Standard1,standard,A17,A,17,MUC16,NA,U/mL,15940,53,42380,41508.75,3.244456940793248,42336,41464.75,16551.3869374337,16010.1405819246,5.36713355665218,103.84,NA,NA,NA,NA,NA,NA,16551.3869374337,16010.1405819246,14.1529789025353,17364.6698914781,FALSE,FALSE,15.8144548044881,16010.1405819246,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,Extrapolated,;;;;;;,panel_1
4235,Standard1,standard,A18,A,18,MUC16,NA,U/mL,15940,48,41826,41508.75,3.244456940793248,41782,41464.75,16194.3937661529,16010.1405819246,5.36713355665218,101.6,NA,NA,NA,NA,NA,NA,16194.3937661529,16010.1405819246,14.1529789025353,17364.6698914781,FALSE,FALSE,15.8144548044881,16010.1405819246,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,Extrapolated,;;;;;;,panel_1
4260,Standard2,standard,C1,C,1,CXCL8,NA,pg/mL,595,48,24939,24379.25,7.756901017229584,24850.4166666667,24290.6666666667,612.408755206605,595.669888117649,10.6945137899326,102.93,NA,NA,NA,NA,NA,NA,612.408755206605,595.669888117649,2.20101841583123,2586.84834558087,FALSE,FALSE,2.33528421601749,2403.88562939985,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4261,Standard2,standard,C2,C,2,CXCL8,NA,pg/mL,595,54,23842.5,24379.25,7.756901017229584,23753.9166666667,24290.6666666667,576.775494148024,595.669888117649,10.6945137899326,96.94,NA,NA,NA,NA,NA,NA,576.775494148024,595.669888117649,2.20101841583123,2586.84834558087,FALSE,FALSE,2.33528421601749,2403.88562939985,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4262,Standard2,standard,C9,C,9,CXCL8,NA,pg/mL,595,42,27926,24379.25,7.756901017229584,27837.4166666667,24290.6666666667,716.247370992525,595.669888117649,10.6945137899326,120.38,NA,NA,NA,NA,NA,NA,716.247370992525,595.669888117649,2.20101841583123,2586.84834558087,FALSE,FALSE,2.33528421601749,2403.88562939985,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4263,Standard2,standard,C10,C,10,CXCL8,NA,pg/mL,595,43,23347,24379.25,7.756901017229584,23258.4166666667,24290.6666666667,561.071000905244,595.669888117649,10.6945137899326,94.3,NA,NA,NA,NA,NA,NA,561.071000905244,595.669888117649,2.20101841583123,2586.84834558087,FALSE,FALSE,2.33528421601749,2403.88562939985,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4264,Standard2,standard,C17,C,17,CXCL8,NA,pg/mL,595,37,22655,24379.25,7.756901017229584,22566.4166666667,24290.6666666667,539.534370165648,595.669888117649,10.6945137899326,90.68,NA,NA,NA,NA,NA,NA,539.534370165648,595.669888117649,2.20101841583123,2586.84834558087,FALSE,FALSE,2.33528421601749,2403.88562939985,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4265,Standard2,standard,C18,C,18,CXCL8,NA,pg/mL,595,44,23566,24379.25,7.756901017229584,23477.4166666667,24290.6666666667,567.982337287849,595.669888117649,10.6945137899326,95.46,NA,NA,NA,NA,NA,NA,567.982337287849,595.669888117649,2.20101841583123,2586.84834558087,FALSE,FALSE,2.33528421601749,2403.88562939985,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4272,Standard2,standard,C1,C,1,FLT3LG,NA,pg/mL,1355,51,29184,25757.666666666668,18.86035222287869,29132.0833333333,25705.75,1637.93063318398,1460.43701452536,17.059068959506,120.88,NA,NA,NA,NA,NA,NA,1637.93063318398,1460.43701452536,4.46357245460317,7605.7011040284,FALSE,FALSE,5.35668030250883,5774.87873637517,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
