average_mfi,lower_limit,upper_limit,assay,standard
4095.9884615384617,3203.480909889525,4988.496013187399,CEA,Standard3
7097.834615384615,3454.5999874076615,10741.06924336157,IL-6Ra,Standard3
4504.911538461539,1203.7036131882605,7806.119463734817,MIF,Standard3
4485.030769230769,3153.895254652287,5816.166283809251,THBS2,Standard3
3927.9576923076925,1493.2694707409532,6362.645913874432,TNC,Standard3
11148.123076923077,8479.995908410923,13816.25024543523,WFDC2,Standard3
11365.742307692308,8501.810657290538,14229.673958094078,cMET,Standard3
4151.684615384615,2920.521979464656,5382.8472513045745,uPAR,Standard3
2699.525974025974,1867.6297735974008,3531.422174454547,AFP,Standard4
3866.5746753246754,2567.0142441291305,5166.13510652022,CA15-3,Standard4
722.9383116883117,395.5427910281531,1050.3338323484704,CCL20,Standard4
2206.0974025974024,1597.4524886986042,2814.7423164962006,EGF,Standard4
838.3993506493506,418.12453699665826,1258.674164302043,FLT3L,Standard4
932.275974025974,672.3552703777625,1192.1966776741856,HGF,Standard4
1028.5324675324675,751.2738403933197,1305.7910946716154,IL-1 R2,Standard4
1449.2142857142858,1094.2568839307748,1804.1716874977967,IL-6,Standard4
1834.9707792207791,1144.5142822183284,2525.42727622323,IL-8,Standard4
4074.0487012987014,2031.8245591734135,6116.272843423989,KLK3,Standard4
958.5162337662338,663.034182284183,1253.9982852482844,MUC-16,Standard4
732.8116883116883,381.6321118921197,1083.9912647312567,OPN,Standard4
1049.2076923076922,810.0192723699976,1288.3961122453868,CEA,Standard4
1816.8846153846155,968.8538120941023,2664.9154186751284,IL-6Ra,Standard4
1036.4538461538461,352.3623547017588,1720.5453376059336,MIF,Standard4
1170.673076923077,782.6658742033986,1558.680279642755,THBS2,Standard4
811.2615384615384,402.9416789499297,1219.581397973147,TNC,Standard4
1726,1240.5241604431676,2211.4758395568324,WFDC2,Standard4
3273.95,2338.9374192195387,4208.962580780461,cMET,Standard4
1036.553846153846,678.623947210892,1394.4837450968002,uPAR,Standard4
769.3181818181819,506.1789774153358,1032.457386221028,AFP,Standard5
923.3409090909091,591.9718093267254,1254.7100088550928,CA15-3,Standard5
251.48701298701297,112.92563735132092,390.04838862270503,CCL20,Standard5
711.5162337662338,501.8762989363805,921.156168596087,EGF,Standard5
353.10064935064935,256.20157659056224,449.99972211073646,FLT3L,Standard5
182.77272727272728,131.571021530468,233.97443301498657,HGF,Standard5
321.4415584415584,232.1486563428986,410.73446054021827,IL-1 R2,Standard5
381.4577922077922,286.4138094191626,476.5017749964218,IL-6,Standard5
500.7012987012987,331.73136445424353,669.6712329483539,IL-8,Standard5
1104.0487012987012,620.2668555664179,1587.8305470309845,KLK3,Standard5
275.1461038961039,191.00055099210664,359.2916568001012,MUC-16,Standard5
202.11363636363637,120.33138718171215,283.8958855455606,OPN,Standard5
362.7307692307692,286.75349065221405,438.7080478093244,CEA,Standard5
469.3269230769231,248.70688981468243,689.9469563391638,IL-6Ra,Standard5
422.4807692307692,294.98197791309906,549.9795605484394,MIF,Standard5
392.99615384615385,288.08774863442795,497.90455905787974,THBS2,Standard5
285.5615384615385,188.79366287343697,382.32941404964,TNC,Standard5
335.1461538461538,249.69619690702848,420.59611078527917,WFDC2,Standard5
896.55,620.7814501958451,1172.3185498041548,cMET,Standard5
309.05384615384617,208.86369597838944,409.2439963293029,uPAR,Standard5
292.0681818181818,168.69515521453445,415.4412084218292,AFP,Standard6
284.09415584415586,156.88369741491212,411.3046142733996,CA15-3,Standard6
126.44805194805195,87.25432155667926,165.64178233942465,CCL20,Standard6
313.461038961039,210.68941620827457,416.2326617138034,EGF,Standard6
239.8116883116883,203.26007597294927,276.36330065042733,FLT3L,Standard6
74.27922077922078,53.989359536059865,94.56908202238169,HGF,Standard6
147.31493506493507,104.84227259219011,189.78759753768003,IL-1 R2,Standard6
127.41883116883118,92.74715201178215,162.0905103258802,IL-6,Standard6
164.80844155844156,105.9368969445402,223.67998617234292,IL-8,Standard6
353.4415584415584,196.92449291005934,509.95862397305746,KLK3,Standard6
111.92207792207792,73.69098563329882,150.153170210857,MUC-16,Standard6
96.6038961038961,66.58063601229544,126.62715619549677,OPN,Standard6
198.55,154.09295356017873,243.0070464398213,CEA,Standard6
163.13076923076923,94.38476322451491,231.87677523702354,IL-6Ra,Standard6
306.1807692307692,237.48203309154047,374.87950536999796,MIF,Standard6
196.00384615384615,155.04102998192323,236.96666232576908,THBS2,Standard6
183.55384615384617,145.91976898421777,221.18792332347456,TNC,Standard6
129.17307692307693,94.97680118548169,163.36935266067218,WFDC2,Standard6
281.0615384615385,190.71861386673854,371.4044630563384,cMET,Standard6
138.98076923076923,98.41137981048439,179.55015865105406,uPAR,Standard6
